Provider Number,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
450389,Athens,TX,75751,HENDERSON,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,7,17
450395,Livingston,TX,77351,POLK,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,0 out of 9,6 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,12,16
450399,Brownfield,TX,79316,TERRY,2 out of 10,2 out of 9,2 out of 10,7 out of 10,0 out of 9,7 out of 10,5 out of 10,3 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,9 out of 10,8 out of 9,9 out of 10,0 out of 10,1 out of 9,1 out of 10,41,19
450400,Mexia,TX,76667,LIMESTONE,7 out of 10,4 out of 9,7 out of 10,5 out of 10,0 out of 9,5 out of 10,9 out of 10,0 out of 9,9 out of 10,9 out of 10,9 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,8 out of 9,9 out of 10,9 out of 10,3 out of 9,9 out of 10,5 out of 10,3 out of 9,5 out of 10,63,20
450403,Mckinney,TX,75069,COLLIN,3 out of 10,4 out of 9,4 out of 10,1 out of 10,2 out of 9,2 out of 10,3 out of 10,3 out of 9,3 out of 10,6 out of 10,6 out of 9,6 out of 10,3 out of 10,5 out of 9,5 out of 10,5 out of 10,4 out of 9,5 out of 10,3 out of 10,4 out of 9,4 out of 10,2 out of 10,4 out of 9,4 out of 10,33,20
450411,Eastland,TX,76448,EASTLAND,9 out of 10,9 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,3 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,8 out of 9,9 out of 10,8 out of 10,6 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,4 out of 9,6 out of 10,68,20
450419,Azle,TX,76020,TARRANT,5 out of 10,0 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,9 out of 10,8 out of 9,9 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,0 out of 9,7 out of 10,6 out of 10,5 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,2 out of 10,0 out of 9,2 out of 10,45,20
450422,Dallas,TX,75204,DALLAS,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,80,20
450424,Baytown,TX,77521,HARRIS,5 out of 10,1 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,2 out of 9,6 out of 10,6 out of 10,5 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,5 out of 10,4 out of 9,5 out of 10,3 out of 10,4 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,33,19
450431,Austin,TX,78705,TRAVIS,3 out of 10,0 out of 9,3 out of 10,4 out of 10,1 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,1 out of 9,5 out of 10,4 out of 10,1 out of 9,4 out of 10,7 out of 10,3 out of 9,7 out of 10,7 out of 10,4 out of 9,7 out of 10,37,20
450447,Corsicana,TX,75110,NAVARRO,1 out of 10,2 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,20,16
450451,Glen Rose,TX,76043,SOMERVELL,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,66,15
450460,Woodville,TX,75979,TYLER,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,0 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,4 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,67,18
450462,Dallas,TX,75231,DALLAS,1 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,2 out of 10,3 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,17,19
450465,Bay City,TX,77414,MATAGORDA,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,1 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,5 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,24,19
450469,Sherman,TX,75091,GRAYSON,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3,17
450475,Henderson,TX,75652,RUSK,3 out of 10,0 out of 9,3 out of 10,5 out of 10,4 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,25,18
450484,Lufkin,TX,75904,ANGELINA,6 out of 10,4 out of 9,6 out of 10,4 out of 10,1 out of 9,4 out of 10,7 out of 10,5 out of 9,7 out of 10,6 out of 10,1 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,1 out of 9,5 out of 10,6 out of 10,5 out of 9,6 out of 10,7 out of 10,5 out of 9,7 out of 10,45,20
450508,Nacogdoches,TX,75961,NACOGDOCHES,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,15,17
450518,Port Arthur,TX,77640,JEFFERSON,0 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,16,18
450537,Richardson,TX,75080,DALLAS,1 out of 10,3 out of 9,3 out of 10,2 out of 10,3 out of 9,3 out of 10,2 out of 10,3 out of 9,3 out of 10,6 out of 10,6 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,3 out of 9,6 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,3 out of 9,3 out of 10,35,18
450539,Plainview,TX,79072,HALE,2 out of 10,0 out of 9,2 out of 10,8 out of 10,5 out of 9,8 out of 10,5 out of 10,4 out of 9,5 out of 10,5 out of 10,4 out of 9,5 out of 10,5 out of 10,1 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,4 out of 10,6 out of 9,6 out of 10,2 out of 10,1 out of 9,2 out of 10,39,20
450558,Abilene,TX,79606,TAYLOR,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,14,17
450563,Grapevine,TX,76051,TARRANT,3 out of 10,0 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,5 out of 9,6 out of 10,5 out of 10,4 out of 9,5 out of 10,4 out of 10,3 out of 9,4 out of 10,6 out of 10,1 out of 9,6 out of 10,32,20
450565,Mineral Wells,TX,76067,PALO PINTO,3 out of 10,3 out of 9,3 out of 10,3 out of 10,1 out of 9,3 out of 10,7 out of 10,6 out of 9,7 out of 10,4 out of 10,2 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,5 out of 9,7 out of 10,1 out of 10,2 out of 9,2 out of 10,28,19
450571,San Angelo,TX,76903,TOM GREEN,4 out of 10,3 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,1 out of 9,4 out of 10,5 out of 10,1 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,2 out of 9,4 out of 10,32,20
450573,Jasper,TX,75951,JASPER,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,17,16
450580,Crockett,TX,75835,HOUSTON,5 out of 10,4 out of 9,5 out of 10,8 out of 10,3 out of 9,8 out of 10,7 out of 10,6 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,5 out of 9,6 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,6 out of 9,6 out of 10,0 out of 10,2 out of 9,2 out of 10,47,18
450587,Brownwood,TX,76801,BROWN,1 out of 10,2 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,5 out of 10,6 out of 9,6 out of 10,0 out of 10,1 out of 9,1 out of 10,6 out of 10,7 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,22,17
450591,Angleton,TX,77515,BRAZORIA,2 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,7 out of 10,2 out of 9,7 out of 10,5 out of 10,3 out of 9,5 out of 10,5 out of 10,3 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,31,20
450596,Granbury,TX,76048,HOOD,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,15
450597,Cuero,TX,77954,DE WITT,6 out of 10,4 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,8 out of 10,7 out of 9,8 out of 10,9 out of 10,8 out of 9,9 out of 10,6 out of 10,1 out of 9,6 out of 10,7 out of 10,2 out of 9,7 out of 10,6 out of 10,5 out of 9,6 out of 10,5 out of 10,3 out of 9,5 out of 10,52,20
450604,Fredericksburg,TX,78624,GILLESPIE,10 out of 10,9 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,77,20
450605,Aransas Pass,TX,78336,SAN PATRICIO,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,5,16
450610,Houston,TX,77024,HARRIS,1 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,6 out of 10,6 out of 9,6 out of 10,4 out of 10,1 out of 9,4 out of 10,9 out of 10,9 out of 9,9 out of 10,6 out of 10,1 out of 9,6 out of 10,33,20
450617,Webster,TX,77598,HARRIS,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,7,17
450634,Denton,TX,76210,DENTON,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,4 out of 10,4 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,13,19
450638,Houston,TX,77090,HARRIS,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6,17
450639,Bedford,TX,76022,TARRANT,3 out of 10,2 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,5 out of 10,2 out of 9,5 out of 10,5 out of 10,5 out of 9,5 out of 10,1 out of 10,1 out of 9,1 out of 10,6 out of 10,5 out of 9,6 out of 10,6 out of 10,4 out of 9,6 out of 10,29,20
450643,Laredo,TX,78045,WEBB,0 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,3 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,4 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,21,19
450644,Houston,TX,77082,HARRIS,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,14
450647,Dallas,TX,75230,DALLAS,0 out of 10,1 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,2 out of 9,5 out of 10,1 out of 10,1 out of 9,1 out of 10,6 out of 10,2 out of 9,6 out of 10,4 out of 10,1 out of 9,4 out of 10,5 out of 10,1 out of 9,5 out of 10,25,18
450651,Plano,TX,75075,COLLIN,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,3 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,5 out of 9,5 out of 10,1 out of 10,1 out of 9,1 out of 10,16,16
450653,Big Spring,TX,79720,HOWARD,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,7,14
450654,Rio Grande City,TX,78582,STARR,8 out of 10,9 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,2 out of 9,5 out of 10,7 out of 10,5 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,4 out of 9,6 out of 10,7 out of 10,7 out of 9,7 out of 10,0 out of 10,3 out of 9,3 out of 10,57,17
450656,Nacogdoches,TX,75961,NACOGDOCHES,4 out of 10,2 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,1 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,2 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,36,20
450659,Houston,TX,77004,HARRIS,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,1 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,7 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,30,16
450661,Odessa,TX,79761,ECTOR,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,4 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,5 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,15,18
450662,Brownsville,TX,78526,CAMERON,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,11,14
450668,El Paso,TX,79902,EL PASO,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,5 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,8,16
450669,Lewisville,TX,75057,DENTON,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,3 out of 9,5 out of 10,16,18
450670,Tomball,TX,77375,HARRIS,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,11,17
450672,Fort Worth,TX,76104,TARRANT,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,10,18
450674,Houston,TX,77054,HARRIS,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,12,15
450675,Arlington,TX,76015,TARRANT,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,4 out of 9,4 out of 10,0 out of 10,3 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,16,15
450677,Fort Worth,TX,76115,JOHNSON,3 out of 10,4 out of 9,4 out of 10,2 out of 10,4 out of 9,4 out of 10,3 out of 10,4 out of 9,4 out of 10,3 out of 10,4 out of 9,4 out of 10,1 out of 10,2 out of 9,2 out of 10,2 out of 10,3 out of 9,3 out of 10,5 out of 10,5 out of 9,5 out of 10,1 out of 10,3 out of 9,3 out of 10,29,20
450678,Dallas,TX,75218,DALLAS,2 out of 10,4 out of 9,4 out of 10,8 out of 10,7 out of 9,8 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,26,18
450684,Humble,TX,77338,HARRIS,5 out of 10,5 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,5 out of 10,3 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,4 out of 9,4 out of 10,3 out of 10,1 out of 9,3 out of 10,24,19
450686,Lubbock,TX,79416,LUBBOCK,6 out of 10,0 out of 9,6 out of 10,3 out of 10,3 out of 9,3 out of 10,5 out of 10,1 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,9 out of 10,5 out of 9,9 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,4 out of 9,8 out of 10,38,18
450688,Mesquite,TX,75150,DALLAS,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,6,8
450690,Tyler,TX,75708,SMITH,1 out of 10,0 out of 9,1 out of 10,9 out of 10,0 out of 9,9 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,7 out of 10,0 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,39,19
450697,San Antonio,TX,78224,BEXAR,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3,11
450702,Longview,TX,75605,GREGG,2 out of 10,2 out of 9,2 out of 10,4 out of 10,2 out of 9,4 out of 10,3 out of 10,4 out of 9,4 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,4 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,7 out of 10,6 out of 9,7 out of 10,4 out of 10,3 out of 9,4 out of 10,32,20
450709,Nassau Bay,TX,77058,HARRIS,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,5 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,13,16
450711,Mc Allen,TX,78503,HIDALGO,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,10,16
450713,Austin,TX,78704,TRAVIS,3 out of 10,1 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,6 out of 10,6 out of 9,6 out of 10,3 out of 10,1 out of 9,3 out of 10,6 out of 10,5 out of 9,6 out of 10,4 out of 10,4 out of 9,4 out of 10,29,19
450716,Houston,TX,77065,HARRIS,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,13,14
450718,Round Rock,TX,78681,WILLIAMSON,3 out of 10,2 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,6 out of 9,6 out of 10,3 out of 10,1 out of 9,3 out of 10,8 out of 10,0 out of 9,8 out of 10,5 out of 10,3 out of 9,5 out of 10,32,19
450723,Dallas,TX,75237,DALLAS,0 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,2 out of 10,4 out of 9,4 out of 10,1 out of 10,3 out of 9,3 out of 10,5 out of 10,2 out of 9,5 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,24,16
450730,Carrollton,TX,75010,DENTON,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,17
